# Step-1 rejected-side misfires (2026-08-24 audit)
# Extracted from INFRA_FILTER_STEP1_CONST_VERDICTS.tsv; mechanisms and
# status per the adversarial audit recorded in INFRA_FILTER_REWORK_PLAN.md §7.
# status: confirmed = verified legitimate cited math; borderline/gray = design call.
# columns: constant	rule	mechanism	status
Euclidean_Algorithm.class.normalization_euclidean_semiring_multiplicative	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conditionally_Complete_Lattices.class.conditionally_complete_linorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Countable_Complete_Lattices.class.countable_complete_distrib_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conditionally_Complete_Lattices.class.conditionally_complete_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Bit_Operations.class.linordered_euclidean_semiring_bit_operations	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Semiring_Normalization.class.comm_semiring_1_cancel_crossproduct	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Countable_Complete_Lattices.class.countable_complete_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Executable_Euclidean_Space.class.executable_euclidean_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Algorithm.class.normalization_euclidean_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Factorial_Ring.class.factorial_semiring_multiplicative	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Dirichlet_Series_Analysis.class.nat_power_normed_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conditionally_Complete_Lattices.class.linear_continuum	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Ordered_Euclidean_Space.class.ordered_euclidean_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Product_Vector.class.uniform_topological_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Parity.class.linordered_euclidean_semiring_division	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattice_Algebras.class.semilattice_sup_ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattice_Algebras.class.semilattice_inf_ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_ab_semigroup_monoid_add_imp_le	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Elementary_Topology.class.second_countable_topology	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.linear_continuum_topology	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Product_Vector.class.uniform_topological_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.first_countable_topology	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.normalization_semidom_multiplicative	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_normed_div_algebra	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Algorithm.class.euclidean_semiring_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Dirichlet_Series_Analysis.class.dirichlet_series	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Complete_Lattices.class.complete_distrib_lattice	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Complete_Lattices.class.complete_boolean_algebra	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattice_Algebras.class.lattice_ab_group_add_abs	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.linordered_cancel_ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Rings.class.unique_euclidean_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Rings.class.euclidean_semiring_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_normed_algebra_1	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.semiring_no_zero_divisors_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_normed_algebra	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.ordered_real_vector	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.strict_ordered_ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_cancel_comm_monoid_diff	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_cancel_ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_ab_semigroup_add_imp_le	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Algorithm.class.euclidean_ring_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Bit_Operations.class.semiring_bit_operations	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_comm_semiring_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_normed_vector	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattice_Algebras.class.lattice_ab_group_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.strict_ordered_comm_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.ordered_cancel_comm_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.canonically_ordered_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Factorial_Ring.class.factorial_semiring_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Rings.class.unique_euclidean_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Rings.class.euclidean_ring_cancel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Unique_Factorization.class.comm_monoid_gcd	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.topological_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.linorder_topology	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.discrete_topology	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_normed_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Parity.class.linordered_euclidean_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.bounded_semilattice_sup_bot	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Lattices.class.bounded_semilattice_inf_top	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Elementary_Metric_Spaces.class.heine_borel	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conjugate.class.conjugatable_ordered_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.real_div_algebra	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_comm_monoid_mult	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Infinite_Sum.class.complete_uniform_space	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Conjugate.class.conjugatable_ordered_ring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Complete_Lattices.class.complete_linorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Archimedean_Field.class.archimedean_field	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Topological_Spaces.class.open_uniformity	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_comm_semiring_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.ordered_cancel_comm_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Rings.class.linordered_semiring_1_strict	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Real_Vector_Spaces.class.uniformity_dist	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Orderings.class.unbounded_dense_linorder	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Limits.class.topological_comm_monoid_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Groups.class.linordered_ab_semigroup_add	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
Euclidean_Rings.class.euclidean_semiring	class_infix	class.X locale predicate, cited in relativization lemmas	confirmed
