theory	status	enumerated	dry_run
Algebra_Aux	kept	448	440
Polynomial_List	kept	164	164
DP_Library	kept	7	7
Approximation	kept	937	931
Approximation_Bounds	kept	314	311
Rat_Pair	kept	80	80
Commutative_Ring	marked	23	23
Commutative_Ring_Complete	marked	0	0
Reflective_Field	marked	30	30
Conversions	marked	0	0
Cooper	marked	31	31
Ferrack	marked	27	27
MIR	marked	31	31
Reflected_Multivariate_Polynomial	marked	11	11
Dense_Linear_Order	marked	2	2
Parametric_Ferrante_Rackoff	marked	26	26
Decision_Procs	marked	0	0
Commutative_Ring_Ex	marked	0	0
Approximation_Ex	marked	0	0
Approximation_Quickcheck_Ex	marked	0	0
Dense_Linear_Order_Ex	marked	0	0
