theory	status	kind	count
Algebra_Aux	kept	rule	41
Algebra_Aux	kept	theorem	403
Algebra_Aux	kept	constant	4
Polynomial_List	kept	rule	3
Polynomial_List	kept	class	1
Polynomial_List	kept	locale	1
Polynomial_List	kept	theorem	143
Polynomial_List	kept	constant	16
DP_Library	kept	theorem	6
DP_Library	kept	constant	1
Approximation	kept	rule	35
Approximation	kept	type	2
Approximation	kept	method	1
Approximation	kept	theorem	833
Approximation	kept	constant	65
Approximation	kept	theorem_collection	1
Approximation_Bounds	kept	rule	29
Approximation_Bounds	kept	theorem	235
Approximation_Bounds	kept	constant	50
Rat_Pair	kept	type	1
Rat_Pair	kept	theorem	62
Rat_Pair	kept	constant	17
Commutative_Ring	marked	method	1
Commutative_Ring	marked	constant	22
Reflective_Field	marked	method	1
Reflective_Field	marked	constant	29
Cooper	marked	method	1
Cooper	marked	constant	30
Ferrack	marked	method	1
Ferrack	marked	constant	26
MIR	marked	method	1
MIR	marked	constant	30
Reflected_Multivariate_Polynomial	marked	constant	11
Dense_Linear_Order	marked	method	2
Parametric_Ferrante_Rackoff	marked	method	2
Parametric_Ferrante_Rackoff	marked	constant	24
