theory	surviving_entity_kind	name
Commutative_Ring	constant	Commutative_Ring.pol.Pc
Commutative_Ring	constant	Commutative_Ring.pol.Pinj
Commutative_Ring	constant	Commutative_Ring.pol.PX
Commutative_Ring	constant	Commutative_Ring.pol.case_pol
Commutative_Ring	constant	Commutative_Ring.pol.rec_pol
Commutative_Ring	constant	Commutative_Ring.pol.size_pol
Commutative_Ring	constant	Commutative_Ring.polex.Var
Commutative_Ring	constant	Commutative_Ring.polex.Const
Commutative_Ring	constant	Commutative_Ring.polex.Add
Commutative_Ring	constant	Commutative_Ring.polex.Sub
Commutative_Ring	constant	Commutative_Ring.polex.Mul
Commutative_Ring	constant	Commutative_Ring.polex.Pow
Commutative_Ring	constant	Commutative_Ring.polex.Neg
Commutative_Ring	constant	Commutative_Ring.polex.case_polex
Commutative_Ring	constant	Commutative_Ring.polex.rec_polex
Commutative_Ring	constant	Commutative_Ring.polex.size_polex
Commutative_Ring	constant	Commutative_Ring.mon.Mc
Commutative_Ring	constant	Commutative_Ring.mon.Minj
Commutative_Ring	constant	Commutative_Ring.mon.MX
Commutative_Ring	constant	Commutative_Ring.mon.case_mon
Commutative_Ring	constant	Commutative_Ring.mon.rec_mon
Commutative_Ring	constant	Commutative_Ring.mon.size_mon
Commutative_Ring	method	Commutative_Ring.ring
Reflective_Field	constant	Reflective_Field.fexpr.FCnst
Reflective_Field	constant	Reflective_Field.fexpr.FVar
Reflective_Field	constant	Reflective_Field.fexpr.FAdd
Reflective_Field	constant	Reflective_Field.fexpr.FSub
Reflective_Field	constant	Reflective_Field.fexpr.FMul
Reflective_Field	constant	Reflective_Field.fexpr.FNeg
Reflective_Field	constant	Reflective_Field.fexpr.FDiv
Reflective_Field	constant	Reflective_Field.fexpr.FPow
Reflective_Field	constant	Reflective_Field.fexpr.case_fexpr
Reflective_Field	constant	Reflective_Field.fexpr.rec_fexpr
Reflective_Field	constant	Reflective_Field.fexpr.size_fexpr
Reflective_Field	constant	Reflective_Field.pexpr.PExpr1
Reflective_Field	constant	Reflective_Field.pexpr.PExpr2
Reflective_Field	constant	Reflective_Field.pexpr1.PCnst
Reflective_Field	constant	Reflective_Field.pexpr1.PVar
Reflective_Field	constant	Reflective_Field.pexpr1.PAdd
Reflective_Field	constant	Reflective_Field.pexpr1.PSub
Reflective_Field	constant	Reflective_Field.pexpr1.PNeg
Reflective_Field	constant	Reflective_Field.pexpr2.PMul
Reflective_Field	constant	Reflective_Field.pexpr2.PPow
Reflective_Field	constant	Reflective_Field.pexpr.case_pexpr
Reflective_Field	constant	Reflective_Field.pexpr.rec_pexpr
Reflective_Field	constant	Reflective_Field.pexpr1.case_pexpr1
Reflective_Field	constant	Reflective_Field.pexpr1.rec_pexpr1
Reflective_Field	constant	Reflective_Field.pexpr2.case_pexpr2
Reflective_Field	constant	Reflective_Field.pexpr2.rec_pexpr2
Reflective_Field	constant	Reflective_Field.pexpr.size_pexpr
Reflective_Field	constant	Reflective_Field.pexpr1.size_pexpr1
Reflective_Field	constant	Reflective_Field.pexpr2.size_pexpr2
Reflective_Field	method	Reflective_Field.field
Cooper	constant	Cooper.num.C
Cooper	constant	Cooper.num.Bound
Cooper	constant	Cooper.num.CN
Cooper	constant	Cooper.num.Neg
Cooper	constant	Cooper.num.Add
Cooper	constant	Cooper.num.Sub
Cooper	constant	Cooper.num.Mul
Cooper	constant	Cooper.num.case_num
Cooper	constant	Cooper.num.rec_num
Cooper	constant	Cooper.fm.T
Cooper	constant	Cooper.fm.F
Cooper	constant	Cooper.fm.Lt
Cooper	constant	Cooper.fm.Le
Cooper	constant	Cooper.fm.Gt
Cooper	constant	Cooper.fm.Ge
Cooper	constant	Cooper.fm.Eq
Cooper	constant	Cooper.fm.NEq
Cooper	constant	Cooper.fm.Dvd
Cooper	constant	Cooper.fm.NDvd
Cooper	constant	Cooper.fm.Not
Cooper	constant	Cooper.fm.And
Cooper	constant	Cooper.fm.Or
Cooper	constant	Cooper.fm.Imp
Cooper	constant	Cooper.fm.Iff
