marked_theory	kind	name
HOL.Extraction	constant	Extraction.sumbool.case_sumbool
HOL.Extraction	constant	Extraction.sumbool.rec_sumbool
HOL.Extraction	constant	Extraction.sumbool.Right
HOL.Extraction	constant	Extraction.sumbool.Left
HOL.Lazy_Sequence	constant	Lazy_Sequence.lazy_sequence.lazy_sequence_of_list
HOL.Lazy_Sequence	constant	Lazy_Sequence.lazy_sequence.case_lazy_sequence
HOL.Lazy_Sequence	constant	Lazy_Sequence.lazy_sequence.rec_lazy_sequence
HOL.Typerep	constant	Typerep.typerep.size_typerep
HOL.Typerep	constant	Typerep.typerep.case_typerep
HOL.Typerep	constant	Typerep.typerep.rec_typerep
HOL.Typerep	constant	Typerep.typerep.Typerep
HOL.Code_Evaluation	constant	Code_Evaluation.term.dummy_term
HOL.Code_Evaluation	constant	Code_Evaluation.term.case_term
HOL.Code_Evaluation	constant	Code_Evaluation.term.rec_term
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.three_valued.case_three_valued
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.three_valued.rec_three_valued
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.three_valued.Unknown_value
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.three_valued.No_value
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.unknown.case_unknown
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.unknown.rec_unknown
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.three_valued.Value
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.unknown.Unknown
HOL.Quickcheck_Exhaustive	constant	Quickcheck_Exhaustive.unknown.Known
HOL.Record	constant	Record.tuple_isomorphism.size_tuple_isomorphism
HOL.Record	constant	Record.tuple_isomorphism.case_tuple_isomorphism
HOL.Record	constant	Record.tuple_isomorphism.rec_tuple_isomorphism
HOL.Record	constant	Record.tuple_isomorphism.Tuple_Isomorphism
HOL.Nitpick	constant	Nitpick.pair_box.case_pair_box
HOL.Nitpick	constant	Nitpick.pair_box.rec_pair_box
HOL.Nitpick	constant	Nitpick.fun_box.case_fun_box
HOL.Nitpick	constant	Nitpick.fun_box.rec_fun_box
HOL.Nitpick	constant	Nitpick.pair_box.PairBox
HOL.Nitpick	constant	Nitpick.word.case_word
HOL.Nitpick	constant	Nitpick.fun_box.FunBox
HOL.Nitpick	constant	Nitpick.word.rec_word
HOL.Nitpick	constant	Nitpick.word.Word
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.ffun.case_ffun
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.cfun.case_cfun
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.ffun.rec_ffun
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.ffun.Constant
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.cfun.rec_cfun
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.cfun.Constant
HOL.Quickcheck_Narrowing	constant	Quickcheck_Narrowing.ffun.Update
HOL-Library.Code_Test	constant	Code_Test.yxml_of_term.case_yxml_of_term
HOL-Library.Code_Test	constant	Code_Test.yxml_of_term.rec_yxml_of_term
HOL-Library.Code_Test	constant	Code_Test.xml_tree.case_xml_tree
HOL-Library.Code_Test	constant	Code_Test.xml_tree.rec_xml_tree
HOL-Library.Code_Test	constant	Code_Test.yxml_of_term.YXML
HOL-Library.Code_Test	constant	Code_Test.xml_tree.XML_Tree
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.size_polex
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.case_polex
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.rec_polex
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.pol.size_pol
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.pol.case_pol
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.mon.size_mon
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.mon.case_mon
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Const
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.pol.rec_pol
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.mon.rec_mon
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Var
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Sub
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Pow
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Neg
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Mul
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.polex.Add
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.pol.Pinj
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.mon.Minj
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.pol.Pc
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.pol.PX
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.mon.Mc
HOL-Decision_Procs.Commutative_Ring	constant	Commutative_Ring.mon.MX
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr2.size_pexpr2
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr2.case_pexpr2
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr1.size_pexpr1
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr1.case_pexpr1
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr2.rec_pexpr2
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr1.rec_pexpr1
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr.size_pexpr
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.pexpr.case_pexpr
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.fexpr.size_fexpr
HOL-Decision_Procs.Reflective_Field	constant	Reflective_Field.fexpr.case_fexpr
