entity,kind,root,grade,hand_written_lemma,expr_same_A1_A2,expr_same_A1_B,shared_key_A1_A2,shared_key_A1_B,shared_key_A2_B,sim_A1_A2,sim_A1_B,sim_A2_B,doc_sim_A1_A2,doc_sim_A1_B,doc_sim_A2_B
dremnok,constant,dremnok,f-locale-assumes,False,True,True,False,False,False,0.9358534812927246,0.8201001286506653,0.7894176244735718,0.9583091139793396,0.8436946272850037,0.8176679611206055
dremnok,locale,dremnok,f-locale-assumes,False,True,False,False,False,False,0.9597497582435608,0.8547546863555908,0.8633601665496826,0.9831101894378662,0.8859375715255737,0.8877733945846558
dremnok.intro,introduction rule,dremnok,f-locale-assumes,False,True,False,False,False,False,0.9748109579086304,0.8621663451194763,0.8840780258178711,0.9915385246276855,0.9136854410171509,0.9229422807693481
dremnok.intro,lemma,dremnok,f-locale-assumes,False,True,False,False,False,False,0.9363669157028198,0.8800076246261597,0.8840780258178711,0.9614251255989075,0.8895496726036072,0.9037528038024902
dremnok.swap_inner,lemma,dremnok,f-locale-assumes,True,True,True,False,False,False,0.9806777238845825,0.8410348892211914,0.8566559553146362,0.9890003204345703,0.8906679153442383,0.9011034369468689
dremnok.swap_outer,lemma,dremnok,f-locale-assumes,True,True,True,False,False,False,0.9775171875953674,0.8467288017272949,0.8557718992233276,0.980438768863678,0.9062042236328125,0.9209944009780884
dremnok.swap_pair,lemma,dremnok,f-locale-assumes,True,True,True,False,False,False,0.8967303037643433,0.9001878499984741,0.867048978805542,0.9579548835754395,0.9433985948562622,0.9098376035690308
dremnok.swap_triple,lemma,dremnok,f-locale-assumes,True,True,True,False,False,False,0.9271056056022644,0.7744920253753662,0.8251302242279053,0.9826503992080688,0.9082915186882019,0.9196051359176636
dremnok_def,lemma,dremnok,f-locale-assumes,False,True,False,False,False,False,0.9624817967414856,0.8421891927719116,0.8733856081962585,0.984910786151886,0.872188925743103,0.8821675777435303
galmuth,constant,galmuth,a-cosmetic,False,True,True,False,False,False,0.9489784836769104,0.9472470283508301,0.981721818447113,0.9705110192298889,0.9678194522857666,0.9813438653945923
galmuth.elims,elimination rule,galmuth,a-cosmetic,False,True,False,False,False,False,0.9550899267196655,0.9038112163543701,0.8857029676437378,0.9755911827087402,0.9556514620780945,0.9423227310180664
galmuth.elims,lemma,galmuth,a-cosmetic,False,True,False,False,False,False,0.9550899267196655,0.9038112163543701,0.8857029676437378,0.9714105129241943,0.9543296098709106,0.9365109205245972
galmuth_append,lemma,galmuth,a-cosmetic,True,True,True,False,False,False,0.9411588907241821,0.943126380443573,0.9758783578872681,0.9545283317565918,0.9587183594703674,0.9857754707336426
galmuth_dom,constant,galmuth,a-cosmetic,False,True,True,False,False,False,0.9548323154449463,0.9678715467453003,0.9315003156661987,0.9726415276527405,0.9817617535591125,0.9630685448646545
galmuth_le_sum,lemma,galmuth,a-cosmetic,True,True,True,False,False,False,0.9682261347770691,0.9241747856140137,0.8968590497970581,0.9751901626586914,0.9607957601547241,0.9392038583755493
galmuth_nil,lemma,galmuth,a-cosmetic,True,True,True,False,False,False,0.9533896446228027,0.9885498285293579,0.9567440748214722,0.9677469730377197,0.992072343826294,0.9629354476928711
galmuth_rev,lemma,galmuth,a-cosmetic,True,True,True,False,False,False,0.9597650766372681,0.9196962118148804,0.9015188217163086,0.9693430662155151,0.9220866560935974,0.9274688959121704
galmuth_singleton,lemma,galmuth,a-cosmetic,True,True,True,False,False,False,0.9453082084655762,0.9544080495834351,0.9752991199493408,0.9727382659912109,0.9715346097946167,0.9938821792602539
kolvar,constant,kolvar,b-numeric,False,True,True,False,False,False,0.9834221601486206,0.9288737773895264,0.9278250932693481,0.9859707355499268,0.9453489780426025,0.9636009931564331
kolvar_commute,lemma,kolvar,b-numeric,True,True,True,False,False,False,0.982664942741394,0.9754588603973389,0.962094783782959,0.9918029308319092,0.9753199815750122,0.9769678711891174
kolvar_def,lemma,kolvar,b-numeric,False,True,False,False,False,False,0.9784345626831055,0.983350396156311,0.9568198919296265,0.986703634262085,0.9755166172981262,0.9677149057388306
kolvar_mono_left,lemma,kolvar,b-numeric,True,True,True,False,False,False,0.9794198274612427,0.9931401610374451,0.9794231057167053,0.9928768873214722,0.9942988157272339,0.9904390573501587
kolvar_positive,lemma,kolvar,b-numeric,True,True,True,False,False,False,0.9793729186058044,0.9824194312095642,0.9974690675735474,0.9878855347633362,0.9883246421813965,0.9973863363265991
kolvar_zero_right,lemma,kolvar,b-numeric,True,True,True,False,False,False,0.9203270673751831,0.9259464144706726,0.9914023876190186,0.9789131283760071,0.9801229238510132,0.9943268299102783
narquil,constant,narquil,c-condition,False,True,True,False,False,False,0.9455474615097046,0.9204551577568054,0.9616738557815552,0.9754469990730286,0.9628397822380066,0.9759649634361267
narquil.cases,lemma,narquil,c-condition,False,True,True,False,False,False,0.9770417213439941,0.954330325126648,0.960899829864502,0.9913703203201294,0.9769399166107178,0.9805508852005005
narquil.elims,elimination rule,narquil,c-condition,False,True,False,False,False,False,0.9336243867874146,0.9008909463882446,0.8819139003753662,0.9645136594772339,0.9477090835571289,0.9326522350311279
narquil.elims,lemma,narquil,c-condition,False,True,False,False,False,False,0.9336243867874146,0.9008909463882446,0.8819139003753662,0.9587610363960266,0.9324749708175659,0.910926103591919
narquil.induct,lemma,narquil,c-condition,False,True,True,False,False,False,0.9359782338142395,0.9584566354751587,0.9352912902832031,0.9451415538787842,0.9361915588378906,0.9452956914901733
narquil.simps(1),lemma,narquil,c-condition,False,True,False,False,False,False,0.9865164756774902,0.9777734875679016,0.9787529706954956,0.9943079948425293,0.9897816181182861,0.98939049243927
narquil.simps(2),lemma,narquil,c-condition,False,True,True,False,False,False,0.9925428628921509,0.9266367554664612,0.9178119897842407,0.9964996576309204,0.9477744102478027,0.9437259435653687
narquil_dom,constant,narquil,c-condition,False,True,True,False,False,False,0.8932040929794312,0.9631628394126892,0.9191664457321167,0.9413231611251831,0.9739660024642944,0.95253586769104
narquil_glaive_assoc,lemma,narquil,c-condition,True,True,True,False,False,False,0.9579131007194519,0.9247903823852539,0.9367835521697998,0.9755808115005493,0.9623996019363403,0.9580837488174438
narquil_glaive_commute,lemma,narquil,c-condition,True,True,True,False,False,False,0.9491201639175415,0.9351321458816528,0.8761863112449646,0.964575469493866,0.9612202644348145,0.9313634634017944
narquil_large,lemma,narquil,c-condition,True,True,True,False,False,False,0.9204089641571045,0.91874098777771,0.9575286507606506,0.9624002575874329,0.9675396680831909,0.9782829284667969
narquil_small,lemma,narquil,c-condition,True,True,True,False,False,False,0.9202466011047363,0.9376673698425293,0.9466135501861572,0.9782627820968628,0.9733654856681824,0.9820358157157898
plerx,constant,plerx,d-negation,False,True,True,False,False,False,0.9589999914169312,0.9184576869010925,0.8695423603057861,0.9634252786636353,0.9373345375061035,0.901164174079895
plerx.cases,case-split rule,plerx,d-negation,False,True,False,False,False,False,0.9799003005027771,0.9800177812576294,0.9730109572410583,0.9852238297462463,0.9780974388122559,0.9707887768745422
plerx.cases,lemma,plerx,d-negation,False,True,False,False,False,False,0.9680051803588867,0.9738290905952454,0.9730109572410583,0.9832645058631897,0.9756344556808472,0.9720211029052734
plerx.induct,lemma,plerx,d-negation,False,True,False,False,False,False,0.9832619428634644,0.9817222356796265,0.987797737121582,0.9899914264678955,0.9858885407447815,0.9907961487770081
plerx.inducts,induction rule,plerx,d-negation,False,True,False,False,False,False,0.9864032864570618,0.9798269271850586,0.9843344688415527,0.9882805347442627,0.9775896072387695,0.9870154857635498
plerx.intros(1),introduction rule,plerx,d-negation,False,True,False,False,False,False,0.9907199740409851,0.9088824987411499,0.9092255234718323,0.9931045770645142,0.9484138488769531,0.9405152797698975
plerx.intros(1),lemma,plerx,d-negation,False,True,False,False,False,False,0.9620592594146729,0.9121391773223877,0.9092255234718323,0.9725093841552734,0.937653660774231,0.9382946491241455
plerx.intros(2),introduction rule,plerx,d-negation,False,True,True,False,False,False,0.980116069316864,0.9761366844177246,0.9849997758865356,0.9847064018249512,0.9805865287780762,0.9855172634124756
plerx.intros(2),lemma,plerx,d-negation,False,True,True,False,False,False,0.9689913988113403,0.9705091714859009,0.9849997758865356,0.9719911217689514,0.9838613271713257,0.9898059368133545
plerx.simps,lemma,plerx,d-negation,False,True,False,False,False,False,0.9463103413581848,0.9576464295387268,0.9495354294776917,0.961915135383606,0.9677563905715942,0.9686247110366821
plerx_add,lemma,plerx,d-negation,True,True,True,False,False,False,0.8977553844451904,0.8977553844451904,1.0,0.9302887916564941,0.9272582530975342,0.9978833198547363
plerx_double,lemma,plerx,d-negation,True,True,True,False,False,False,0.927648663520813,0.8861621022224426,0.8947081565856934,0.9580957293510437,0.9451689720153809,0.942505955696106
plerx_not_one,lemma,plerx,d-negation,True,True,True,False,False,False,0.7341844439506531,0.754688560962677,0.9587606191635132,0.8326196670532227,0.8185105323791504,0.9700637459754944
plerx_two,lemma,plerx,d-negation,True,True,True,False,False,False,0.8829612731933594,0.9039005041122437,0.9289268255233765,0.9118036031723022,0.9112184643745422,0.9800877571105957
quilm,type,quilm,unchanged-datatype,False,True,True,False,False,False,0.9184565544128418,0.9417223930358887,0.9407796859741211,0.9222970604896545,0.9635952115058899,0.9425272345542908
quilm.Brint,constant,quilm,unchanged-datatype,False,True,True,False,False,False,0.9486258029937744,0.9867798686027527,0.9649896621704102,0.9842483997344971,0.9871169328689575,0.9906984567642212
quilm.Glaive,constant,quilm,unchanged-datatype,False,True,True,False,False,False,0.964539647102356,0.9716875553131104,0.9655169248580933,0.9660409688949585,0.9686057567596436,0.9679243564605713
quilm.case(1),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9204260110855103,0.937198281288147,0.9625675082206726,0.9387578964233398,0.9435480237007141,0.9667022228240967
quilm.case(2),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9236085414886475,0.8950904607772827,0.9164431095123291,0.9354094862937927,0.9061335325241089,0.9369930624961853
quilm.case_cong,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.964728593826294,0.97584068775177,0.9713934659957886,0.9780013561248779,0.9803865551948547,0.9859180450439453
quilm.case_cong_weak,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9359174966812134,0.9557435512542725,0.9242917895317078,0.9631178379058838,0.9808251261711121,0.9477131366729736
quilm.case_distrib,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9330594539642334,0.9311493635177612,0.9379836320877075,0.9627605676651001,0.934810996055603,0.9237531423568726
quilm.case_quilm,constant,quilm,unchanged-datatype,False,True,True,False,False,False,0.9820327162742615,0.9724414944648743,0.9814785718917847,0.9811396598815918,0.9738197922706604,0.9808186292648315
quilm.distinct(1),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9728947877883911,0.9782959222793579,0.9511096477508545,0.9908298254013062,0.9891040921211243,0.9793524742126465
quilm.distinct(2),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9440237283706665,0.9121191501617432,0.8997476100921631,0.974098801612854,0.9654743075370789,0.947273850440979
quilm.exhaust,case-split rule,quilm,unchanged-datatype,False,True,True,False,False,False,0.9669850468635559,0.9532014727592468,0.9636418223381042,0.9777519702911377,0.9624547362327576,0.9729557037353516
quilm.exhaust,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9448174238204956,0.9453229904174805,0.9636418223381042,0.9470662474632263,0.9450427293777466,0.9713519811630249
quilm.induct,induction rule,quilm,unchanged-datatype,False,True,True,False,False,False,0.9744608402252197,0.9575594663619995,0.9658586978912354,0.9830641746520996,0.9700175523757935,0.9824131727218628
quilm.induct,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9696191549301147,0.9504873752593994,0.9658586978912354,0.9783989787101746,0.9610232710838318,0.9786183834075928
quilm.inject(1),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9828464984893799,0.967127799987793,0.956358790397644,0.9883666038513184,0.9848160743713379,0.974601149559021
quilm.inject(2),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9734349250793457,0.8450257778167725,0.8457102179527283,0.9831122159957886,0.9017210602760315,0.9043188095092773
quilm.nchotomy,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9670968651771545,0.9224107265472412,0.9079022407531738,0.9723536968231201,0.9621581435203552,0.9659916162490845
quilm.rec(1),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9608502984046936,0.96741783618927,0.9324713349342346,0.9758779406547546,0.9738434553146362,0.955988883972168
quilm.rec(2),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9348347187042236,0.9342629313468933,0.8844284415245056,0.9622642993927002,0.9375816583633423,0.9066420793533325
quilm.rec_quilm,constant,quilm,unchanged-datatype,False,True,True,False,False,False,0.9210941791534424,0.9547092914581299,0.9407986998558044,0.9345312714576721,0.9331759214401245,0.9250386953353882
quilm.size(1),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.934505820274353,0.9482028484344482,0.9572691321372986,0.9854587316513062,0.9875696897506714,0.9915047287940979
quilm.size(2),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9567739963531494,0.869698166847229,0.8875597715377808,0.9760273098945618,0.9401761293411255,0.9430442452430725
quilm.size(3),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9116111397743225,0.8766034841537476,0.9538114070892334,0.9722461700439453,0.9562914967536926,0.9861190319061279
quilm.size(4),lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.9168843030929565,0.8186568021774292,0.8913874626159668,0.964347243309021,0.9156403541564941,0.9379942417144775
quilm.size_quilm,constant,quilm,unchanged-datatype,False,True,True,False,False,False,0.9442819356918335,0.950678825378418,0.9763470888137817,0.96437668800354,0.9607788324356079,0.9779308438301086
quilm.split,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.960631251335144,0.9593968391418457,0.9373786449432373,0.9757562875747681,0.9641608595848083,0.9444701671600342
quilm.split_asm,lemma,quilm,unchanged-datatype,False,True,True,False,False,False,0.8998383283615112,0.9431630373001099,0.9002819657325745,0.9693552255630493,0.9638253450393677,0.9485675096511841
tirneb,constant,tirneb,e-overhaul,False,True,True,False,False,False,0.9661845564842224,0.7771344184875488,0.7861730456352234,0.981613039970398,0.8521390557289124,0.8592581152915955
tirneb_at_zero,lemma,tirneb,e-overhaul,True,True,True,False,False,False,0.9136977195739746,0.9077596664428711,0.9457403421401978,0.9781240224838257,0.9650028944015503,0.9840952157974243
tirneb_def,lemma,tirneb,e-overhaul,False,True,False,False,False,False,0.985486626625061,0.8572140336036682,0.823761522769928,0.9950055480003357,0.9019057750701904,0.8926552534103394
tirneb_injective,lemma,tirneb,e-overhaul,True,True,True,False,False,False,0.974151611328125,0.9925619959831238,0.9764453172683716,0.9875772595405579,0.9957175254821777,0.9854544997215271
tirneb_mono,lemma,tirneb,e-overhaul,True,True,True,False,False,False,0.9833924770355225,0.9951145052909851,0.9830870628356934,0.9922154545783997,0.9961804747581482,0.9927006959915161
tirneb_step,lemma,tirneb,e-overhaul,True,True,True,False,False,False,0.98430997133255,0.9504331350326538,0.9462324976921082,0.9963445663452148,0.983617901802063,0.9800964593887329
vondel,constant,vondel,control,False,True,True,False,False,False,0.9860858917236328,0.9556631445884705,0.9528156518936157,0.9865126609802246,0.9713988304138184,0.9664667844772339
